"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"31","2021-10-19","02:40:27","8h:09m","UAØSM","-15","FT8","20m","14.0758","Russia-AS","UA9","OO06VH","4805"
"218","2021-10-18","11:48:29","23h:01m","UA3GI","-13","FT8","20m","14.0753","Russia-EU","UA","KO92XK79","4790"
"22","2021-10-19","09:50:30","59min","YB2HKB","-17","FT8","20m","14.0743","Indonesia","YB","OI43NB","4789"
"13","2021-10-19","10:28:29","21min","UA3ZUX","-17","FT8","20m","14.0743","Russia-EU","UA","KO90DK","4747"
"101","2021-10-18","14:04:29","20h:45m","UR7GN","-10","FT8","20m","14.0742","Ukraine","UR","KN76FC","4741"
"103","2021-10-18","14:03:30","20h:46m","UR3QL","-15","FT8","-","0.0000","Ukraine","UR","KN76RW","4717"
"96","2021-10-18","14:10:30","20h:39m","R7KKO","-16","FT8","20m","14.0743","Russia-EU","UA","KN74BX","4709"
"40","2021-10-18","15:07:32","19h:42m","RV7KA","-17","FT8","20m","14.0743","Russia-EU","UA","KN75FK","4708"
"7","2021-10-19","10:37:30","12min","RAØAER","-20","FT8","20m","14.0742","Russia-AS","UA9","NO68EH","4678"
"155","2021-10-18","13:05:30","21h:44m","YB1BZV","-13","FT8","20m","14.0743","Indonesia","YB","OI33VA07","4675"
"9","2021-10-19","10:36:29","13min","YB1HR","-15","FT8","20m","14.0742","Indonesia","YB","OI33TB","4657"
"16","2021-10-19","10:10:29","39min","YE1AR","-16","FT8","20m","14.0743","Indonesia","YB","OI33TC","4655"
"229","2021-10-18","11:20:29","23h:29m","R3KAB","-13","FT8","20m","14.0742","Russia-EU","UA","LN09HX","4583"
"82","2021-10-18","14:35:29","20h:14m","YC1AYO","-15","FT8","20m","14.0743","Indonesia","YB","OI33MN","4572"
"26","2021-10-19","05:42:29","5h:07m","YCØDMS","-14","FT8","20m","14.0742","Indonesia","YB","OI33JQ","4542"
"3","2021-10-19","10:46:29","3min","YBØDX","-15","FT8","20m","14.0743","Indonesia","YB","OI33JS","4536"
"220","2021-10-18","11:47:30","23h:02m","RW4LN","-11","FT8","20m","14.0743","Russia-EU","UA","LO44HI08","4536"
"33","2021-10-19","02:38:27","8h:11m","UBØAMB","-9","FT8","20m","14.0743","Russia-AS","UA9","NO66LG","4493"
"120","2021-10-18","13:49:29","21h:00m","5B4AMH","-16","FT8","20m","14.0743","Cyprus","5B","KM64GW","4465"
"136","2021-10-18","13:23:29","21h:26m","RA4DX","-16","FT8","20m","14.0743","Russia-EU","UA","LO21WO","4428"
"128","2021-10-18","13:37:30","21h:12m","RD4AN","-16","FT8","20m","14.0743","Russia-EU","UA","LN19US","4398"
"14","2021-10-19","10:28:28","21min","R7BL","-13","FT8","20m","14.0743","Russia-EU","UA","LN06BA","4358"
"57","2021-10-18","14:48:32","20h:01m","UA9JLR","-16","FT8","20m","14.0745","Russia-AS","UA9","MO27VD","4353"
"167","2021-10-18","12:58:15","21h:52m","5B4AMO","-22","FT8","20m","14.0742","Cyprus","5B","KM65WB","4350"
"91","2021-10-18","14:23:29","20h:26m","RO7L","-11","FT8","20m","14.0743","Russia-EU","UA","LN06QG","4294"
"84","2021-10-18","14:30:27","20h:19m","RU6YL","-19","FT8","20m","14.0743","Russia-EU","UA","LN04AN","4276"
"27","2021-10-19","03:01:29","7h:48m","RV6FT","-10","FT8","20m","14.0743","Russia-EU","UA","LN15DU","4209"
"21","2021-10-19","09:52:30","57min","VR2BG","-18","FT8","20m","14.0743","Hong Kong","VR","OL72BI","4199"
"83","2021-10-18","14:35:27","20h:14m","4X1UF/QRP","-7","FT8","20m","14.0743","Israel","4X","KM72LT","4194"
"19","2021-10-19","10:00:27","49min","4X4MF","-18","FT8","20m","14.0743","Israel","4X","KM72MS","4186"
"207","2021-10-18","12:10:30","22h:39m","BD7IBN","-19","FT8","20m","14.0743","China","BY","OL62WN","4173"
"112","2021-10-18","13:51:29","20h:58m","BD4STG","-18","FT8","20m","14.0743","China","BY","OM91","4078"
"182","2021-10-18","12:43:27","22h:06m","UA9MA","-8","FT8","20m","14.0742","Russia-AS","UA9","MO64MQ38HP","4027"
"127","2021-10-18","13:40:32","21h:09m","YB4HPI","-18","FT8","20m","14.0743","Indonesia","YB","OI16KR","3991"
"152","2021-10-18","13:06:30","21h:43m","YC4AOK","-9","FT8","20m","14.0743","Indonesia","YB","OI18SI","3941"
"117","2021-10-18","13:50:29","20h:59m","R7IW","-16","FT8","20m","14.0743","Russia-EU","UA","LN35QJ","3869"
"102","2021-10-18","14:04:27","20h:45m","4L3NZ","-11","FT8","20m","14.0743","Georgia","4L","LN21JS","3784"
"158","2021-10-18","13:03:30","21h:46m","9V1ZV-2","-13","FT8","20m","14.0742","Singapore","9V","OJ11VH","3778"
"137","2021-10-18","13:21:29","21h:28m","YC5NAU","-9","FT8","20m","14.0743","Indonesia","YB","OJ00QK","3609"
